                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.6267,                 1.5207,                 2.3986,                 0.7694,                0.67574,                0.73703,                0.57448,                 1.7626,                 2.1519,                 2.5377,               0.005446,               0.005446,               0.005446
                     94,                 1.6614,                 1.5271,                 2.4013,                0.77162,                0.67571,                0.73748,                0.57516,                 1.7635,                 2.1458,                  2.539,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.6385,                 1.5141,                 2.3983,                0.77246,                0.67496,                0.73779,                0.57563,                 1.7632,                  2.142,                 2.5394,               0.005347,               0.005347,               0.005347
                     96,                 1.6441,                 1.4764,                 2.3922,                0.77303,                0.67513,                0.73772,                0.57578,                 1.7623,                 2.1414,                 2.5384,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.6275,                 1.5024,                 2.3801,                0.77407,                0.67412,                0.73777,                0.57615,                 1.7628,                 2.1368,                 2.5391,               0.005248,               0.005248,               0.005248
                     98,                 1.6264,                 1.5044,                 2.3808,                0.77416,                0.67449,                0.73783,                0.57644,                 1.7622,                 2.1338,                 2.5392,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.6201,                 1.4687,                 2.3803,                0.77477,                0.67542,                0.73816,                0.57681,                 1.7618,                 2.1316,                 2.5387,               0.005149,               0.005149,               0.005149
                    100,                  1.628,                 1.4705,                 2.3675,                0.77564,                0.67536,                0.73852,                0.57746,                 1.7608,                 2.1326,                 2.5373,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.6052,                  1.494,                 2.3758,                0.77629,                0.67551,                0.73871,                0.57773,                 1.7604,                 2.1327,                 2.5374,                0.00505,                0.00505,                0.00505
                    102,                 1.6094,                 1.4497,                 2.3741,                0.77908,                0.67578,                 0.7391,                0.57833,                 1.7602,                 2.1311,                 2.5372,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.6196,                 1.4373,                  2.356,                0.77407,                0.67853,                 0.7392,                0.57848,                 1.7599,                 2.1305,                 2.5366,               0.004951,               0.004951,               0.004951
                    104,                 1.6302,                  1.481,                 2.3654,                0.77557,                0.67756,                0.73937,                0.57915,                 1.7582,                 2.1282,                  2.535,              0.0049015,              0.0049015,              0.0049015
                    105,                  1.603,                 1.4363,                   2.36,                0.77877,                0.67595,                0.73954,                0.57941,                 1.7576,                 2.1251,                 2.5344,               0.004852,               0.004852,               0.004852
                    106,                 1.6068,                 1.4334,                 2.3711,                0.78054,                0.67621,                0.74004,                0.57999,                 1.7588,                 2.1202,                 2.5352,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.6166,                 1.4152,                 2.3621,                0.78011,                 0.6772,                0.74055,                0.58058,                 1.7589,                 2.1184,                 2.5361,               0.004753,               0.004753,               0.004753
                    108,                 1.5656,                 1.3852,                 2.3436,                0.78013,                0.67787,                0.74102,                0.58108,                 1.7576,                 2.1189,                 2.5349,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.5676,                 1.3765,                 2.3391,                0.78148,                0.67767,                0.74106,                0.58136,                 1.7579,                  2.117,                  2.536,               0.004654,               0.004654,               0.004654
                    110,                 1.5737,                 1.3989,                 2.3437,                 0.7799,                0.67975,                0.74116,                0.58179,                 1.7582,                 2.1158,                 2.5366,              0.0046045,              0.0046045,              0.0046045
                    111,                  1.604,                 1.3996,                  2.341,                 0.7769,                0.68092,                 0.7413,                0.58191,                 1.7583,                 2.1167,                 2.5366,               0.004555,               0.004555,               0.004555
                    112,                 1.5739,                 1.3676,                 2.3356,                0.77187,                0.68625,                0.74152,                0.58239,                 1.7575,                 2.1183,                 2.5365,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.5826,                 1.3874,                 2.3327,                 0.7726,                0.68679,                0.74176,                0.58274,                 1.7567,                 2.1186,                 2.5365,               0.004456,               0.004456,               0.004456
                    114,                  1.543,                 1.3466,                 2.3282,                0.77434,                0.68606,                0.74182,                0.58315,                 1.7565,                 2.1183,                 2.5365,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.5403,                 1.3424,                 2.3202,                0.77562,                0.68549,                0.74202,                0.58346,                  1.756,                 2.1199,                 2.5368,               0.004357,               0.004357,               0.004357
                    116,                 1.5464,                 1.3451,                 2.3195,                0.78181,                0.68225,                0.74246,                0.58393,                 1.7557,                 2.1203,                 2.5371,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.5369,                 1.3379,                 2.3107,                0.77941,                0.68375,                0.74225,                0.58395,                 1.7551,                 2.1206,                 2.5374,               0.004258,               0.004258,               0.004258
                    118,                 1.5515,                  1.331,                  2.319,                0.78196,                0.68229,                0.74233,                0.58399,                 1.7547,                 2.1209,                 2.5377,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.5337,                  1.311,                 2.3094,                 0.7788,                0.68601,                0.74258,                0.58439,                 1.7543,                 2.1231,                 2.5381,               0.004159,               0.004159,               0.004159
                    120,                 1.5412,                 1.3393,                 2.3041,                0.77888,                0.68414,                0.74257,                0.58449,                  1.754,                 2.1257,                 2.5383,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.5444,                 1.3348,                 2.3206,                0.77921,                0.68462,                0.74277,                0.58476,                 1.7527,                 2.1296,                  2.538,                0.00406,                0.00406,                0.00406
                    122,                 1.5304,                 1.3188,                 2.3005,                0.77998,                0.68519,                0.74262,                0.58471,                 1.7517,                 2.1315,                 2.5381,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.5342,                 1.2986,                 2.3013,                0.77585,                0.68881,                 0.7426,                0.58512,                 1.7516,                 2.1326,                 2.5385,               0.003961,               0.003961,               0.003961
                    124,                  1.498,                  1.298,                 2.3066,                 0.7765,                0.68922,                0.74269,                 0.5853,                 1.7517,                 2.1336,                 2.5391,              0.0039115,              0.0039115,              0.0039115
                    125,                  1.516,                 1.2684,                 2.2936,                0.77621,                 0.6893,                0.74283,                0.58568,                 1.7513,                  2.135,                 2.5391,               0.003862,               0.003862,               0.003862
                    126,                 1.5176,                 1.2614,                 2.2883,                0.77676,                0.68906,                0.74278,                0.58568,                 1.7505,                 2.1369,                 2.5389,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.4993,                 1.2572,                 2.2816,                0.77813,                0.68771,                0.74301,                0.58619,                 1.7502,                 2.1379,                 2.5395,               0.003763,               0.003763,               0.003763
                    128,                  1.495,                 1.2598,                 2.2852,                0.77899,                0.68708,                0.74296,                0.58616,                   1.75,                 2.1395,                   2.54,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.4869,                 1.2535,                  2.286,                0.77283,                0.69162,                0.74298,                0.58627,                 1.7512,                 2.1402,                 2.5415,               0.003664,               0.003664,               0.003664
                    130,                  1.455,                 1.2489,                 2.2767,                0.77213,                0.69176,                 0.7431,                0.58653,                 1.7512,                 2.1435,                 2.5421,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.455,                 1.2136,                 2.2523,                0.77729,                0.68953,                0.74315,                0.58697,                 1.7513,                 2.1458,                 2.5425,               0.003565,               0.003565,               0.003565
                    132,                 1.4447,                 1.1988,                 2.2665,                0.77364,                0.69272,                0.74328,                0.58718,                 1.7516,                 2.1467,                 2.5429,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.4771,                 1.2159,                 2.2516,                0.77524,                0.69229,                 0.7434,                0.58738,                 1.7516,                 2.1502,                 2.5434,               0.003466,               0.003466,               0.003466
                    134,                 1.4262,                  1.195,                 2.2472,                 0.7766,                0.69179,                0.74331,                 0.5875,                 1.7518,                 2.1534,                 2.5437,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.4368,                 1.2107,                 2.2475,                 0.7775,                0.69089,                 0.7433,                0.58773,                 1.7522,                 2.1553,                  2.544,               0.003367,               0.003367,               0.003367
